都道府県名,municipality,oaza,aza,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,武豊町,大字なし,字緑台四丁目,1,7,-127497,-24777.5,34.850427,136.89571,0,1,0,0
愛知県,武豊町,大字冨貴,高代,6,7,-130587.1,-24590,34.822575,136.897852,0,1,0,0
愛知県,武豊町,大字なし,字緑台一丁目,1,7,-127403.1,-24748,34.851275,136.896029,0,1,0,0
愛知県,武豊町,大字冨貴,後田面,33,7,-129456,-24586.2,34.832771,136.897861,0,1,0,0
愛知県,武豊町,大字冨貴,久原,1,7,-131331.7,-24547.7,34.815863,136.898335,0,1,0,0
愛知県,武豊町,大字冨貴,樽田,10,7,-130122.8,-24697.5,34.826757,136.896662,0,1,0,0
愛知県,武豊町,大字なし,字多賀四丁目,1,7,-127728.3,-24721.4,34.848343,136.896332,0,1,0,0
愛知県,武豊町,大字なし,字北中根一丁目,1,7,-127301.8,-24658,34.85219,136.89701,0,1,0,0
愛知県,武豊町,大字冨貴,丸山,11,7,-129285,-24587.5,34.834313,136.897841,0,1,0,0
愛知県,武豊町,大字冨貴,細池,2,7,-130785.3,-24477,34.820791,136.899091,0,1,0,0
愛知県,武豊町,大字なし,字多賀五丁目,1,7,-128085.8,-24601.9,34.845123,136.897649,0,1,0,0
愛知県,武豊町,大字なし,字中山一丁目,1,7,-126733.6,-24528,34.857314,136.898417,0,1,0,0
愛知県,武豊町,大字なし,字多賀七丁目,83,7,-128429.5,-24625,34.842024,136.897404,0,1,0,0
愛知県,武豊町,大字冨貴,前田側,34,7,-130043.8,-24621.5,34.827472,136.897491,0,1,0,0
愛知県,武豊町,大字冨貴,森東,32,7,-129708.8,-24644.5,34.830492,136.89723,0,1,0,0
愛知県,武豊町,大字冨貴,西畑,2,7,-129858.1,-24468.5,34.829149,136.899158,0,1,0,0
愛知県,武豊町,大字なし,字多賀六丁目,37,7,-128011.1,-24545.2,34.845798,136.898265,0,1,0,0
愛知県,武豊町,大字なし,字多賀三丁目,1,7,-127816.3,-24533.7,34.847554,136.898384,0,1,0,0
愛知県,武豊町,大字なし,字多賀二丁目,1,7,-127689,-24514,34.848703,136.898598,0,1,0,0
愛知県,武豊町,大字なし,字緑台三丁目,1,7,-127545.8,-24500.5,34.849992,136.898741,0,1,0,0
愛知県,武豊町,大字なし,字緑台二丁目,71,7,-127415,-24497.7,34.851173,136.898768,0,1,0,0
愛知県,武豊町,大字なし,字北中根二丁目,8,7,-127202.3,-24473.9,34.85309,136.899023,0,1,0,0
愛知県,武豊町,大字なし,字ヲヲガケ,1,7,-128327.6,-24331.7,34.84295,136.900609,0,1,0,0
愛知県,武豊町,大字なし,字中山三丁目,1,7,-126992.3,-24449.7,34.854984,136.899281,0,1,0,0
愛知県,武豊町,大字なし,字壱畝町,34,7,-128448.3,-24299,34.841861,136.900971,0,1,0,0
愛知県,武豊町,大字なし,字中山二丁目,64,7,-126744.6,-24420.9,34.857218,136.899588,0,1,0,0
愛知県,武豊町,大字冨貴,寺後,73,7,-129604.8,-24383.7,34.831434,136.900078,0,1,0,0
愛知県,武豊町,大字なし,字鹿ノ子田一丁目,227,7,-125106.5,-24382.2,34.871986,136.899963,0,1,0,0
愛知県,武豊町,大字なし,字北中根三丁目,56,7,-127303.5,-24324.5,34.852182,136.900657,0,1,0,0
愛知県,武豊町,大字冨貴,シッペイ,43,7,-130167.1,-24282,34.826368,136.901206,0,1,0,0
愛知県,武豊町,大字なし,字大門田,72,7,-128660.8,-24124.4,34.83995,136.902886,0,1,0,0
愛知県,武豊町,大字冨貴,寺東,5,7,-129644.8,-24292.5,34.831076,136.901075,0,1,0,0
愛知県,武豊町,大字冨貴,前畑,26,7,-129798.8,-24291.5,34.829689,136.901092,0,1,0,0
愛知県,武豊町,大字なし,字豊成三丁目,85,7,-125089.5,-24238.5,34.872143,136.901533,0,1,0,0
